country,continent,year,lifeExp,pop,iso_alpha,iso_num,GDP per person,g7
Bangladesh,Asia,1962,41.2,56839289,BGD,50,686.0,
Bangladesh,Asia,1967,43.5,62821884,BGD,50,721.0,
Bangladesh,Asia,1972,45.3,70759295,BGD,50,630.0,
Bangladesh,Asia,1977,46.9,80428306,BGD,50,660.0,
Bangladesh,Asia,1982,50.0,93074406,BGD,50,677.0,
Bangladesh,Asia,1987,52.8,103764241,BGD,50,752.0,
Bangladesh,Asia,1992,56.0,113704579,BGD,50,838.0,
Bangladesh,Asia,1997,59.4,123315288,BGD,50,973.0,
Bangladesh,Asia,2002,62.0,135656790,BGD,50,1136.0,
Bangladesh,Asia,2007,64.1,150448339,BGD,50,1391.0,
Belgium,Europe,1952,68.0,8730405,BEL,56,8343.0,
Belgium,Europe,1957,69.2,8989111,BEL,56,9715.0,
Belgium,Europe,1962,70.2,9218400,BEL,56,10991.0,
Belgium,Europe,1967,70.9,9556500,BEL,56,13149.0,
Belgium,Europe,1972,71.4,9709100,BEL,56,16672.0,
Belgium,Europe,1977,72.8,9821800,BEL,56,19118.0,
Belgium,Europe,1982,73.9,9856303,BEL,56,20980.0,
Belgium,Europe,1987,75.4,9870200,BEL,56,22526.0,
Belgium,Europe,1992,76.5,10045622,BEL,56,25576.0,
Belgium,Europe,1997,77.5,10199787,BEL,56,27561.0,
Belgium,Europe,2002,78.3,10311970,BEL,56,30486.0,
Belgium,Europe,2007,79.4,10392226,BEL,56,33693.0,
Benin,Africa,1952,38.2,1738315,BEN,204,1063.0,
Benin,Africa,1957,40.4,1925173,BEN,204,960.0,
Benin,Africa,1962,42.6,2151895,BEN,204,949.0,
Benin,Africa,1967,44.9,2427334,BEN,204,1036.0,
Benin,Africa,1972,47.0,2761407,BEN,204,1086.0,
Benin,Africa,1977,49.2,3168267,BEN,204,1029.0,
Benin,Africa,1982,50.9,3641603,BEN,204,1278.0,
Benin,Africa,1987,52.3,4243788,BEN,204,1226.0,
Benin,Africa,1992,53.9,4981671,BEN,204,1191.0,
Benin,Africa,1997,54.8,6066080,BEN,204,1233.0,
Benin,Africa,2002,54.4,7026113,BEN,204,1373.0,
Benin,Africa,2007,56.7,8078314,BEN,204,1441.0,
Bolivia,Americas,1952,40.4,2883315,BOL,68,2677.0,
Bolivia,Americas,1957,41.9,3211738,BOL,68,2128.0,
Bolivia,Americas,1962,43.4,3593918,BOL,68,2181.0,
Bolivia,Americas,1967,45.0,4040665,BOL,68,2587.0,
Bolivia,Americas,1972,46.7,4565872,BOL,68,2980.0,
Bolivia,Americas,1977,50.0,5079716,BOL,68,3548.0,
Bolivia,Americas,1982,53.9,5642224,BOL,68,3157.0,
Bolivia,Americas,1987,57.3,6156369,BOL,68,2754.0,
Bolivia,Americas,1992,60.0,6893451,BOL,68,2962.0,
Bolivia,Americas,1997,62.0,7693188,BOL,68,3326.0,
Bolivia,Americas,2002,63.9,8445134,BOL,68,3413.0,
Bolivia,Americas,2007,65.6,9119152,BOL,68,3822.0,
Bosnia and Herzegovina,Europe,1952,53.8,2791000,BIH,70,974.0,
Bosnia and Herzegovina,Europe,1957,58.4,3076000,BIH,70,1354.0,
Bosnia and Herzegovina,Europe,1962,61.9,3349000,BIH,70,1710.0,
Bosnia and Herzegovina,Europe,1967,64.8,3585000,BIH,70,2172.0,
Bosnia and Herzegovina,Europe,1972,67.4,3819000,BIH,70,2860.0,
Bosnia and Herzegovina,Europe,1977,69.9,4086000,BIH,70,3528.0,
Bosnia and Herzegovina,Europe,1982,70.7,4172693,BIH,70,4127.0,
Bosnia and Herzegovina,Europe,1987,71.1,4338977,BIH,70,4314.0,
Bosnia and Herzegovina,Europe,1992,72.2,4256013,BIH,70,2547.0,
Bosnia and Herzegovina,Europe,1997,73.2,3607000,BIH,70,4766.0,
Bosnia and Herzegovina,Europe,2002,74.1,4165416,BIH,70,6019.0,
Bosnia and Herzegovina,Europe,2007,74.9,4552198,BIH,70,7446.0,
Botswana,Africa,1952,47.6,442308,BWA,72,851.0,
Botswana,Africa,1957,49.6,474639,BWA,72,918.0,
Botswana,Africa,1962,51.5,512764,BWA,72,984.0,
Botswana,Africa,1967,53.3,553541,BWA,72,1215.0,
Botswana,Africa,1972,56.0,619351,BWA,72,2264.0,
Botswana,Africa,1977,59.3,781472,BWA,72,3215.0,
Botswana,Africa,1982,61.5,970347,BWA,72,4551.0,
Botswana,Africa,1987,63.6,1151184,BWA,72,6206.0,
Botswana,Africa,1992,62.7,1342614,BWA,72,7954.0,
Botswana,Africa,1997,52.6,1536536,BWA,72,8647.0,
Botswana,Africa,2002,46.6,1630347,BWA,72,11004.0,
Botswana,Africa,2007,50.7,1639131,BWA,72,12570.0,
Brazil,Americas,1952,50.9,56602560,BRA,76,2109.0,
Brazil,Americas,1957,53.3,65551171,BRA,76,2487.0,
Brazil,Americas,1962,55.7,76039390,BRA,76,3337.0,
Brazil,Americas,1967,57.6,88049823,BRA,76,3430.0,
Brazil,Americas,1972,59.5,100840058,BRA,76,4986.0,
Brazil,Americas,1977,61.5,114313951,BRA,76,6660.0,
Brazil,Americas,1982,63.3,128962939,BRA,76,7031.0,
Brazil,Americas,1987,65.2,142938076,BRA,76,7807.0,
Brazil,Americas,1992,67.1,155975974,BRA,76,6950.0,
Brazil,Americas,1997,69.4,168546719,BRA,76,7958.0,
Brazil,Americas,2002,71.0,179914212,BRA,76,8131.0,
Brazil,Americas,2007,72.4,190010647,BRA,76,9066.0,
Bulgaria,Europe,1952,59.6,7274900,BGR,100,2444.0,
Bulgaria,Europe,1957,66.6,7651254,BGR,100,3009.0,
Bulgaria,Europe,1962,69.5,8012946,BGR,100,4254.0,
Bulgaria,Europe,1967,70.4,8310226,BGR,100,5577.0,
Bulgaria,Europe,1972,70.9,8576200,BGR,100,6597.0,
Bulgaria,Europe,1977,70.8,8797022,BGR,100,7612.0,
Bulgaria,Europe,1982,71.1,8892098,BGR,100,8224.0,
Bulgaria,Europe,1987,71.3,8971958,BGR,100,8240.0,
Bulgaria,Europe,1992,71.2,8658506,BGR,100,6303.0,
Bulgaria,Europe,1997,70.3,8066057,BGR,100,5970.0,
Bulgaria,Europe,2002,72.1,7661799,BGR,100,7697.0,
Bulgaria,Europe,2007,73.0,7322858,BGR,100,10681.0,
Burkina Faso,Africa,1952,32.0,4469979,BFA,854,543.0,
Burkina Faso,Africa,1957,34.9,4713416,BFA,854,617.0,
Burkina Faso,Africa,1962,37.8,4919632,BFA,854,723.0,
Burkina Faso,Africa,1967,40.7,5127935,BFA,854,795.0,
Burkina Faso,Africa,1972,43.6,5433886,BFA,854,855.0,
Burkina Faso,Africa,1977,46.1,5889574,BFA,854,743.0,
Burkina Faso,Africa,1982,48.1,6634596,BFA,854,807.0,
Burkina Faso,Africa,1987,49.6,7586551,BFA,854,912.0,
Burkina Faso,Africa,1992,50.3,8878303,BFA,854,932.0,
Burkina Faso,Africa,1997,50.3,10352843,BFA,854,946.0,
Burkina Faso,Africa,2002,50.6,12251209,BFA,854,1038.0,
Burkina Faso,Africa,2007,52.3,14326203,BFA,854,1217.0,
Burundi,Africa,1952,39.0,2445618,BDI,108,339.0,
Burundi,Africa,1957,40.5,2667518,BDI,108,380.0,
Burundi,Africa,1962,42.0,2961915,BDI,108,355.0,
Burundi,Africa,1967,43.5,3330989,BDI,108,413.0,
Burundi,Africa,1972,44.1,3529983,BDI,108,464.0,
Burundi,Africa,1977,45.9,3834415,BDI,108,556.0,
Burundi,Africa,1982,47.5,4580410,BDI,108,560.0,
Burundi,Africa,1987,48.2,5126023,BDI,108,622.0,
Burundi,Africa,1992,44.7,5809236,BDI,108,632.0,
Burundi,Africa,1997,45.3,6121610,BDI,108,463.0,
Burundi,Africa,2002,47.4,7021078,BDI,108,446.0,
Burundi,Africa,2007,49.6,8390505,BDI,108,430.0,
Cambodia,Asia,1952,39.4,4693836,KHM,116,368.0,
Cambodia,Asia,1957,41.4,5322536,KHM,116,434.0,
Cambodia,Asia,1962,43.4,6083619,KHM,116,497.0,
Cambodia,Asia,1967,45.4,6960067,KHM,116,523.0,
Cambodia,Asia,1972,40.3,7450606,KHM,116,422.0,
Cambodia,Asia,1977,31.2,6978607,KHM,116,525.0,
Cambodia,Asia,1982,51.0,7272485,KHM,116,624.0,
Cambodia,Asia,1987,53.9,8371791,KHM,116,684.0,
Cambodia,Asia,1992,55.8,10150094,KHM,116,682.0,
Cambodia,Asia,1997,56.5,11782962,KHM,116,734.0,
Cambodia,Asia,2002,56.8,12926707,KHM,116,896.0,
Cambodia,Asia,2007,59.7,14131858,KHM,116,1714.0,
Cameroon,Africa,1952,38.5,5009067,CMR,120,1173.0,
Cameroon,Africa,1957,40.4,5359923,CMR,120,1313.0,
Cameroon,Africa,1962,42.6,5793633,CMR,120,1400.0,
Cameroon,Africa,1967,44.8,6335506,CMR,120,1508.0,
Cameroon,Africa,1972,47.0,7021028,CMR,120,1684.0,
Cameroon,Africa,1977,49.4,7959865,CMR,120,1783.0,
Cameroon,Africa,1982,53.0,9250831,CMR,120,2368.0,
Cameroon,Africa,1987,55.0,10780667,CMR,120,2603.0,
Cameroon,Africa,1992,54.3,12467171,CMR,120,1793.0,
Cameroon,Africa,1997,52.2,14195809,CMR,120,1694.0,
Cameroon,Africa,2002,49.9,15929988,CMR,120,1934.0,
Cameroon,Africa,2007,50.4,17696293,CMR,120,2042.0,
Canada,Americas,1952,68.8,14785584,CAN,124,11367.0,G7
Canada,Americas,1957,70.0,17010154,CAN,124,12490.0,G7
Canada,Americas,1962,71.3,18985849,CAN,124,13462.0,G7
Canada,Americas,1967,72.1,20819767,CAN,124,16077.0,G7
Canada,Americas,1972,72.9,22284500,CAN,124,18971.0,G7
Canada,Americas,1977,74.2,23796400,CAN,124,22091.0,G7
Canada,Americas,1982,75.8,25201900,CAN,124,22899.0,G7
Canada,Americas,1987,76.9,26549700,CAN,124,26627.0,G7
Canada,Americas,1992,78.0,28523502,CAN,124,26343.0,G7
Canada,Americas,1997,78.6,30305843,CAN,124,28955.0,G7
Canada,Americas,2002,79.8,31902268,CAN,124,33329.0,G7
Canada,Americas,2007,80.7,33390141,CAN,124,36319.0,G7
Central African Republic,Africa,1952,35.5,1291695,CAF,140,1071.0,
Central African Republic,Africa,1957,37.5,1392284,CAF,140,1191.0,
Central African Republic,Africa,1962,39.5,1523478,CAF,140,1193.0,
Central African Republic,Africa,1967,41.5,1733638,CAF,140,1136.0,
Central African Republic,Africa,1972,43.5,1927260,CAF,140,1070.0,
Central African Republic,Africa,1977,46.8,2167533,CAF,140,1109.0,
Central African Republic,Africa,1982,48.3,2476971,CAF,140,957.0,
Central African Republic,Africa,1987,50.5,2840009,CAF,140,845.0,
Central African Republic,Africa,1992,49.4,3265124,CAF,140,748.0,
Central African Republic,Africa,1997,46.1,3696513,CAF,140,741.0,
Central African Republic,Africa,2002,43.3,4048013,CAF,140,739.0,
Central African Republic,Africa,2007,44.7,4369038,CAF,140,706.0,
Chad,Africa,1952,38.1,2682462,TCD,148,1179.0,
Chad,Africa,1957,39.9,2894855,TCD,148,1308.0,
Chad,Africa,1962,41.7,3150417,TCD,148,1390.0,
Chad,Africa,1967,43.6,3495967,TCD,148,1197.0,
Chad,Africa,1972,45.6,3899068,TCD,148,1104.0,
Chad,Africa,1977,47.4,4388260,TCD,148,1134.0,
Chad,Africa,1982,49.5,4875118,TCD,148,798.0,
Chad,Africa,1987,51.1,5498955,TCD,148,952.0,
Chad,Africa,1992,51.7,6429417,TCD,148,1058.0,
Chad,Africa,1997,51.6,7562011,TCD,148,1005.0,
Chad,Africa,2002,50.5,8835739,TCD,148,1156.0,
Chad,Africa,2007,50.7,10238807,TCD,148,1704.0,
Chile,Americas,1952,54.7,6377619,CHL,152,3940.0,
Chile,Americas,1957,56.1,7048426,CHL,152,4316.0,
Chile,Americas,1962,57.9,7961258,CHL,152,4519.0,
Chile,Americas,1967,60.5,8858908,CHL,152,5107.0,
Chile,Americas,1972,63.4,9717524,CHL,152,5494.0,
Chile,Americas,1977,67.1,10599793,CHL,152,4757.0,
Chile,Americas,1982,70.6,11487112,CHL,152,5096.0,
Chile,Americas,1987,72.5,12463354,CHL,152,5547.0,
Chile,Americas,1992,74.1,13572994,CHL,152,7596.0,
Chile,Americas,1997,75.8,14599929,CHL,152,10118.0,
Chile,Americas,2002,77.9,15497046,CHL,152,10779.0,
Chile,Americas,2007,78.6,16284741,CHL,152,13172.0,
China,Asia,1952,44.0,556263527,CHN,156,400.0,
China,Asia,1957,50.5,637408000,CHN,156,576.0,
China,Asia,1962,44.5,665770000,CHN,156,488.0,
China,Asia,1967,58.4,754550000,CHN,156,613.0,
China,Asia,1972,63.1,862030000,CHN,156,677.0,
China,Asia,1977,64.0,943455000,CHN,156,741.0,
China,Asia,1982,65.5,1000281000,CHN,156,962.0,
China,Asia,1987,67.3,1084035000,CHN,156,1379.0,
China,Asia,1992,68.7,1164970000,CHN,156,1656.0,
China,Asia,1997,70.4,1230075000,CHN,156,2289.0,
China,Asia,2002,72.0,1280400000,CHN,156,3119.0,
China,Asia,2007,73.0,1318683096,CHN,156,4959.0,
Colombia,Americas,1952,50.6,12350771,COL,170,2144.0,
Colombia,Americas,1957,55.1,14485993,COL,170,2324.0,
Colombia,Americas,1962,57.9,17009885,COL,170,2492.0,
Colombia,Americas,1967,60.0,19764027,COL,170,2679.0,
Colombia,Americas,1972,61.6,22542890,COL,170,3265.0,
Colombia,Americas,1977,63.8,25094412,COL,170,3816.0,
Colombia,Americas,1982,66.7,27764644,COL,170,4398.0,
Colombia,Americas,1987,67.8,30964245,COL,170,4903.0,
Colombia,Americas,1992,68.4,34202721,COL,170,5445.0,
Colombia,Americas,1997,70.3,37657830,COL,170,6117.0,
Colombia,Americas,2002,71.7,41008227,COL,170,5755.0,
Colombia,Americas,2007,72.9,44227550,COL,170,7007.0,
Comoros,Africa,1952,40.7,153936,COM,174,1103.0,
Comoros,Africa,1957,42.5,170928,COM,174,1211.0,
Comoros,Africa,1962,44.5,191689,COM,174,1407.0,
Comoros,Africa,1967,46.5,217378,COM,174,1876.0,
Comoros,Africa,1972,48.9,250027,COM,174,1938.0,
Comoros,Africa,1977,50.9,304739,COM,174,1173.0,
Comoros,Africa,1982,52.9,348643,COM,174,1267.0,
Comoros,Africa,1987,54.9,395114,COM,174,1316.0,
Comoros,Africa,1992,57.9,454429,COM,174,1247.0,
Comoros,Africa,1997,60.7,527982,COM,174,1174.0,
Comoros,Africa,2002,63.0,614382,COM,174,1076.0,
Comoros,Africa,2007,65.2,710960,COM,174,986.0,
"Congo, Dem. Rep.",Africa,1952,39.1,14100005,COD,180,781.0,
"Congo, Dem. Rep.",Africa,1957,40.7,15577932,COD,180,906.0,
"Congo, Dem. Rep.",Africa,1962,42.1,17486434,COD,180,896.0,
"Congo, Dem. Rep.",Africa,1967,44.1,19941073,COD,180,862.0,
"Congo, Dem. Rep.",Africa,1972,46.0,23007669,COD,180,905.0,
"Congo, Dem. Rep.",Africa,1977,47.8,26480870,COD,180,796.0,
"Congo, Dem. Rep.",Africa,1982,47.8,30646495,COD,180,674.0,
"Congo, Dem. Rep.",Africa,1987,47.4,35481645,COD,180,673.0,
"Congo, Dem. Rep.",Africa,1992,45.5,41672143,COD,180,458.0,
"Congo, Dem. Rep.",Africa,1997,42.6,47798986,COD,180,312.0,
"Congo, Dem. Rep.",Africa,2002,45.0,55379852,COD,180,241.0,
"Congo, Dem. Rep.",Africa,2007,46.5,64606759,COD,180,278.0,
"Congo, Rep.",Africa,1952,42.1,854885,COG,178,2126.0,
"Congo, Rep.",Africa,1957,45.1,940458,COG,178,2315.0,
"Congo, Rep.",Africa,1962,48.4,1047924,COG,178,2465.0,
"Congo, Rep.",Africa,1967,52.0,1179760,COG,178,2678.0,
"Congo, Rep.",Africa,1972,54.9,1340458,COG,178,3213.0,
"Congo, Rep.",Africa,1977,55.6,1536769,COG,178,3259.0,
"Congo, Rep.",Africa,1982,56.7,1774735,COG,178,4880.0,
"Congo, Rep.",Africa,1987,57.5,2064095,COG,178,4201.0,
"Congo, Rep.",Africa,1992,56.4,2409073,COG,178,4016.0,
"Congo, Rep.",Africa,1997,53.0,2800947,COG,178,3484.0,
"Congo, Rep.",Africa,2002,53.0,3328795,COG,178,3484.0,
"Congo, Rep.",Africa,2007,55.3,3800610,COG,178,3633.0,
Costa Rica,Americas,1952,57.2,926317,CRI,188,2627.0,
Costa Rica,Americas,1957,60.0,1112300,CRI,188,2990.0,
Costa Rica,Americas,1962,62.8,1345187,CRI,188,3461.0,
Costa Rica,Americas,1967,65.4,1588717,CRI,188,4162.0,
Costa Rica,Americas,1972,67.8,1834796,CRI,188,5118.0,
Costa Rica,Americas,1977,70.8,2108457,CRI,188,5927.0,
Costa Rica,Americas,1982,73.4,2424367,CRI,188,5263.0,
Costa Rica,Americas,1987,74.8,2799811,CRI,188,5630.0,
Costa Rica,Americas,1992,75.7,3173216,CRI,188,6160.0,
Costa Rica,Americas,1997,77.3,3518107,CRI,188,6677.0,
Costa Rica,Americas,2002,78.1,3834934,CRI,188,7723.0,
Costa Rica,Americas,2007,78.8,4133884,CRI,188,9645.0,
Cote d'Ivoire,Africa,1952,40.5,2977019,CIV,384,1389.0,
Cote d'Ivoire,Africa,1957,42.5,3300000,CIV,384,1501.0,
Cote d'Ivoire,Africa,1962,44.9,3832408,CIV,384,1729.0,
Cote d'Ivoire,Africa,1967,47.4,4744870,CIV,384,2052.0,
Cote d'Ivoire,Africa,1972,49.8,6071696,CIV,384,2378.0,
Cote d'Ivoire,Africa,1977,52.4,7459574,CIV,384,2518.0,
Cote d'Ivoire,Africa,1982,54.0,9025951,CIV,384,2603.0,
Cote d'Ivoire,Africa,1987,54.7,10761098,CIV,384,2157.0,
Cote d'Ivoire,Africa,1992,52.0,12772596,CIV,384,1648.0,
Cote d'Ivoire,Africa,1997,48.0,14625967,CIV,384,1786.0,
Cote d'Ivoire,Africa,2002,46.8,16252726,CIV,384,1649.0,
Cote d'Ivoire,Africa,2007,48.3,18013409,CIV,384,1545.0,
Croatia,Europe,1952,61.2,3882229,HRV,191,3119.0,
Croatia,Europe,1957,64.8,3991242,HRV,191,4338.0,
Croatia,Europe,1962,67.1,4076557,HRV,191,5478.0,
Croatia,Europe,1967,68.5,4174366,HRV,191,6960.0,
Croatia,Europe,1972,69.6,4225310,HRV,191,9164.0,
Croatia,Europe,1977,70.6,4318673,HRV,191,11305.0,
Croatia,Europe,1982,70.5,4413368,HRV,191,13222.0,
Croatia,Europe,1987,71.5,4484310,HRV,191,13823.0,
Croatia,Europe,1992,72.5,4494013,HRV,191,8448.0,
Croatia,Europe,1997,73.7,4444595,HRV,191,9876.0,
Croatia,Europe,2002,74.9,4481020,HRV,191,11628.0,
Croatia,Europe,2007,75.7,4493312,HRV,191,14619.0,
Cuba,Americas,1952,59.4,6007797,CUB,192,5587.0,
Cuba,Americas,1957,62.3,6640752,CUB,192,6092.0,
Cuba,Americas,1962,65.2,7254373,CUB,192,5181.0,
Cuba,Americas,1967,68.3,8139332,CUB,192,5690.0,
Cuba,Americas,1972,70.7,8831348,CUB,192,5305.0,
Cuba,Americas,1977,72.6,9537988,CUB,192,6380.0,
Cuba,Americas,1982,73.7,9789224,CUB,192,7317.0,
Cuba,Americas,1987,74.2,10239839,CUB,192,7533.0,
Cuba,Americas,1992,74.4,10723260,CUB,192,5593.0,
Cuba,Americas,1997,76.2,10983007,CUB,192,5432.0,
Cuba,Americas,2002,77.2,11226999,CUB,192,6341.0,
Cuba,Americas,2007,78.3,11416987,CUB,192,8948.0,
Czech Republic,Europe,1952,66.9,9125183,CZE,203,6876.0,
Czech Republic,Europe,1957,69.0,9513758,CZE,203,8256.0,
Czech Republic,Europe,1962,69.9,9620282,CZE,203,10137.0,
Czech Republic,Europe,1967,70.4,9835109,CZE,203,11399.0,
Czech Republic,Europe,1972,70.3,9862158,CZE,203,13108.0,
Czech Republic,Europe,1977,70.7,10161915,CZE,203,14800.0,
Czech Republic,Europe,1982,71.0,10303704,CZE,203,15377.0,
Czech Republic,Europe,1987,71.6,10311597,CZE,203,16310.0,
Czech Republic,Europe,1992,72.4,10315702,CZE,203,14297.0,
Czech Republic,Europe,1997,74.0,10300707,CZE,203,16049.0,
Czech Republic,Europe,2002,75.5,10256295,CZE,203,17596.0,
Czech Republic,Europe,2007,76.5,10228744,CZE,203,22833.0,
Denmark,Europe,1952,70.8,4334000,DNK,208,9692.0,
Denmark,Europe,1957,71.8,4487831,DNK,208,11100.0,
Denmark,Europe,1962,72.4,4646899,DNK,208,13583.0,
Denmark,Europe,1967,73.0,4838800,DNK,208,15937.0,
Denmark,Europe,1972,73.5,4991596,DNK,208,18866.0,
Denmark,Europe,1977,74.7,5088419,DNK,208,20423.0,
Denmark,Europe,1982,74.6,5117810,DNK,208,21688.0,
Denmark,Europe,1987,74.8,5127024,DNK,208,25116.0,
Denmark,Europe,1992,75.3,5171393,DNK,208,26407.0,
Denmark,Europe,1997,76.1,5283663,DNK,208,29804.0,
Denmark,Europe,2002,77.2,5374693,DNK,208,32167.0,
Denmark,Europe,2007,78.3,5468120,DNK,208,35278.0,
Djibouti,Africa,1952,34.8,63149,DJI,262,2670.0,
Djibouti,Africa,1957,37.3,71851,DJI,262,2865.0,
Djibouti,Africa,1962,39.7,89898,DJI,262,3021.0,
Djibouti,Africa,1967,42.1,127617,DJI,262,3020.0,
Djibouti,Africa,1972,44.4,178848,DJI,262,3694.0,
